resource_class,summer,fall,winter,spring
biomass,445.0,433.0,428.0,421.0
coal,31881.0,30674.0,31038.0,25175.0
combined_cycle,24524.0,23308.0,25477.0,22682.0
dual_fuel_oil_gas,7021.0,6866.0,6710.0,6429.0
gas,26773.0,25302.0,24490.0,24389.0
nuclear,10999.0,10656.0,10901.0,10661.0
oil,576.0,559.0,538.0,523.0
pumped_storage,2386.0,1988.0,2223.0,2282.0
reservoir_hydro,474.0,395.0,368.0,411.0
run_of_river_hydro,841.0,757.0,808.0,830.0
solar,6028.0,1864.0,509.0,1701.0
storage,447.0,26.0,30.0,87.0
wind,4687.0,8704.0,10859.0,8021.0
