resource_class,summer,fall,winter,spring
biomass,386.0,360.0,367.0,343.0
coal,31022.0,25352.0,24389.0,20593.0
combined_cycle,24080.0,20388.0,20598.0,18565.0
dual_fuel_oil_gas,6496.0,5635.0,5299.0,5369.0
gas,25010.0,20602.0,19300.0,18114.0
nuclear,10814.0,9724.0,9937.0,9625.0
oil,507.0,465.0,305.0,326.0
pumped_storage,2528.0,1972.0,2212.0,1798.0
reservoir_hydro,455.0,377.0,411.0,384.0
run_of_river_hydro,509.0,325.0,446.0,476.0
solar,5287.0,249.0,178.0,487.0
storage,289.0,32.0,33.0,100.0
wind,2079.0,3282.0,6682.0,4086.0
